shapeid,x,y,address
110,-73.8459344356,40.7840169699,15-4 122nd Street
111,-73.7520096053,40.7760694164,236-22 33rd Avenue
112,-73.7805073557,40.7668098049,35-15 207th Street
113,-73.9871877101,40.750317055,1330 Broadway
114,-73.9530002574,40.6112018756,2017 Kings Highway
115,-73.979952298,40.7155136526,285 Delancey St South
116,-74.0033246904,40.7232503422,505 Broome Street
117,-74.0057135603,40.7302301245,75 Leroy Street
118,-74.00970724,40.6281099401,1001 68th Street
119,-73.9554385714,40.8126814026,445 Dr M L King Jr Boulevard
120,-73.9550241744,40.8122052801,429 Dr M L King Jr Boulevard
121,-73.9979361112,40.6206198369,1542 Ovington Avenue
122,-73.9525095241,40.6763690015,39 Grant Square
123,-73.9661234225,40.5749964656,201 Brighton 1st Road
124,-73.8354275186,40.8742549156,3111 New England Thruway
125,-73.8435272685,40.840703986,19 Westchester Square
126,-73.9565660039,40.5890175152,2530 Sheepshead Bay Road
127,-73.9562613747,40.58909446,2529 Sheepshead Bay Road
128,-73.9525041059,40.67642719,37 Grant Square
129,-73.9993837074,40.6219314612,1469 68th Street
130,-73.9994846755,40.6219764422,1465 68th Street
131,-73.999835625,40.6222161042,1447 68th Street
132,-74.0092166883,40.6275253628,1034 68th Street
133,-73.9974198304,40.6208780197,1553 Ovington Avenue
134,-74.0086460927,40.6274621503,1049 68th Street
135,-74.0057964825,40.6257292413,1179 68th Street
136,-74.0065693553,40.6262117136,1143 68th Street
137,-74.0024714194,40.623692654,1333 68th Street
138,-74.0197823672,40.6214697513,8125 Ft Hamilton Parkway
139,-74.0065314907,40.6258676487,1154 68th Street
140,-74.0064780228,40.6258334093,1158 68th Street
141,-74.0023552194,40.6233547919,1344 68th Street
142,-74.0148185935,40.6295312189,819 Ovington Avenue
143,-73.8965578947,40.6346676065,1521 East 92nd Street
144,-73.8967067599,40.6347595963,1513 East 92nd Street
145,-73.9815056334,40.6427495694,13 Story Court
146,-73.842518267,40.8411272127,71 Westchester Square
147,-73.9072413149,40.8105411883,455 Southern Boulevard
148,-73.8169073528,40.8280664627,654 Throgs Neck Expressway Sr
149,-73.8220447508,40.8341642647,1032 Throgs Neck Expressway Sr
150,-73.8073406612,40.8175771601,4236 Throgs Neck Expressway
151,-73.8982025845,40.8955455572,244 West 251st Street
152,-73.7416352894,40.7380188247,230-1 Grand Central Parkway
