"shapeid","x","y","house_num","special_co","streetname"
"3789","-73.7274743397","40.732525806","238-010","A","HILLSIDE AVENUE BELLEROSE"
"3790","-73.8909002893","40.5669538901","98","A","HILLSIDE AVENUE ROCKAWAYS"
"3791","-73.832319564","40.6561691038","14","A","BAYVIEW AVENUE"
"3792","-73.8646958088","40.8515439405","2040","A","ANTIN PLACE"
"3793","-73.9946778133","40.6581097632","500","A","25 STREET"
"3794","-73.7727606784","40.6822167848","121-030","A","172 STREET"
"3795","-73.7726856022","40.6821119172","121-028","A","172 STREET"
"3796","-73.9526864344","40.5775542752","5","A","ORIENTAL COURT"
"3797","-73.8150596906","40.8459885684","124","A","OUTLOOK AVENUE"
"3798","-73.8152653707","40.8462897843","224","A","OUTLOOK AVENUE"
"3799","-73.9088938374","40.8148888125","605","A","PONTIAC PLACE"
"3800","-73.7504406272","40.7734585285","144","A","CENTER DRIVE"
"3801","-73.7504503184","40.7734933936","144","A","RIDGE ROAD"
"3802","-73.8677247089","40.9027988109","4452","A","VAN CORTLANDT PARK EAST"
"3803","-73.7421509897","40.7381739475","229-018","A","230 STREET"
"3804","-73.7421033108","40.7379889896","229-24","A","230 STREET"
"3805","-73.7421302862","40.7381179409","229-020","A","230 STREET"
"3806","-73.7422974511","40.7376621906","78-029","A","CLOVERDALE BOULEVARD"
"3807","-73.7422239345","40.7376781538","78-027","A","CLOVERDALE BOULEVARD"
"3808","-73.7421462438","40.7376950254","78-025","A","CLOVERDALE BOULEVARD"
"3809","-73.9142044226","40.8912135827","680-009","A","WEST 246 STREET"
"3810","-73.9142028354","40.8913038728","680-008","A","WEST 246 STREET"
"3811","-73.9141624589","40.8914055789","680-007","A","WEST 246 STREET"
"3812","-73.9140117245","40.8908047727","680-006","A","WEST 246 STREET"
"3813","-73.9139464141","40.8909620822","680-005","A","WEST 246 STREET"
"3814","-73.913936767","40.8911600432","680-004","A","WEST 246 STREET"
"3815","-73.9139204002","40.891344448","680-003","A","WEST 246 STREET"
"3816","-73.9138829319","40.8914907754","680-002","A","WEST 246 STREET"
